cve_id,cvss_base_score,days_since_disclosure,cwe_ids,exploit_available,public_facing,data_sensitivity,has_patch,attack_vector_ADJACENT_NETWORK,attack_vector_LOCAL,attack_vector_NETWORK,attack_vector_PHYSICAL,attack_complexity_HIGH,attack_complexity_LOW,privileges_required_HIGH,privileges_required_LOW,privileges_required_NONE,user_interaction_NONE,user_interaction_REQUIRED,scope_CHANGED,scope_UNCHANGED,confidentiality_impact_HIGH,confidentiality_impact_LOW,confidentiality_impact_NONE,integrity_impact_HIGH,integrity_impact_LOW,integrity_impact_NONE,availability_impact_HIGH,availability_impact_LOW,availability_impact_NONE,risk_score
CVE-2012-1539,8.1,0,"CWE-399,CWE-416",1,0,0,0,False,False,True,False,True,False,False,False,True,True,False,False,True,True,False,False,True,False,False,True,False,False,8.24
CVE-2012-4775,8.8,0,CWE-399,1,1,1,0,False,False,True,False,False,True,False,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False,9.85
CVE-2012-5830,8.8,0,CWE-416,0,0,0,1,False,False,True,False,False,True,False,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False,5.5200000000000005
CVE-2012-2239,9.1,0,CWE-611,0,1,3,0,False,False,True,False,False,True,False,False,True,True,False,False,True,True,False,False,True,False,False,False,False,True,7.630000000000001
CVE-2012-2539,7.8,0,"CWE-787,CWE-787",1,1,0,0,False,True,False,False,False,True,False,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False,9.120000000000001
CVE-2012-4787,9.0,0,"CWE-399,CWE-416",1,0,0,0,False,False,True,False,True,False,False,False,True,True,False,True,False,True,False,False,True,False,False,True,False,False,8.6
CVE-2012-4792,8.8,0,"CWE-416,CWE-416",1,0,1,0,False,False,True,False,False,True,False,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False,8.85
CVE-2013-0625,9.8,0,"CWE-287,CWE-287",1,0,0,0,False,False,True,False,False,True,False,False,True,True,False,False,True,True,False,False,True,False,False,True,False,False,8.92
CVE-2013-0629,7.5,0,Unknown,0,0,0,1,False,False,True,False,False,True,False,False,True,True,False,False,True,True,False,False,False,False,True,False,False,True,5.0
CVE-2013-0631,7.5,0,Unknown,1,1,0,1,False,False,True,False,False,True,False,False,True,True,False,False,True,True,False,False,False,False,True,False,False,True,9.0
CVE-2013-0006,8.8,0,CWE-189,1,0,2,0,False,False,True,False,False,True,False,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False,9.18
CVE-2013-0422,9.8,0,"CWE-264,CWE-284",0,0,2,0,False,False,True,False,False,True,False,False,True,True,False,False,True,True,False,False,True,False,False,True,False,False,6.58
CVE-2013-0632,9.8,0,"CWE-276,CWE-276",1,0,0,1,False,False,True,False,False,True,False,False,True,True,False,False,True,True,False,False,True,False,False,True,False,False,8.92
CVE-2013-0375,5.4,0,Unknown,0,1,0,0,False,False,True,False,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,True,5.16
CVE-2012-5656,5.5,0,CWE-611,0,1,1,0,False,True,False,False,False,True,False,True,False,True,False,False,True,True,False,False,False,False,True,False,False,True,5.53
CVE-2012-6068,9.8,0,"CWE-284,CWE-264",1,0,2,0,False,False,True,False,False,True,False,False,True,True,False,False,True,True,False,False,True,False,False,True,False,False,9.58
CVE-2012-6069,10.0,0,"CWE-23,CWE-22",1,1,1,0,False,False,True,False,False,True,False,False,True,True,False,True,False,True,False,False,True,False,False,True,False,False,10.0
CVE-2013-0431,5.3,0,CWE-693,0,0,1,0,False,False,True,False,False,True,False,False,True,True,False,False,True,False,True,False,False,False,True,False,False,True,4.45
CVE-2013-1591,9.8,0,CWE-190,1,0,2,0,False,False,True,False,False,True,False,False,True,True,False,False,True,True,False,False,True,False,False,True,False,False,9.58
CVE-2013-1465,9.8,0,CWE-502,1,1,1,0,False,False,True,False,False,True,False,False,True,True,False,False,True,True,False,False,True,False,False,True,False,False,10.0
CVE-2013-0022,9.0,0,"CWE-399,CWE-416",1,0,1,1,False,False,True,False,True,False,False,False,True,True,False,True,False,True,False,False,True,False,False,True,False,False,8.93
CVE-2013-0029,7.5,0,CWE-399,0,1,2,0,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,True,False,False,6.66
CVE-2013-1253,7.0,0,"CWE-362,CWE-362",1,0,0,0,False,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,7.800000000000001
CVE-2013-1265,7.0,0,"CWE-362,CWE-362",0,0,1,0,False,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,5.130000000000001
CVE-2013-1275,7.0,0,"CWE-362,CWE-362",1,0,0,1,False,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,7.800000000000001
CVE-2013-1278,7.4,0,"CWE-362,CWE-362",0,0,0,0,False,True,False,False,True,False,False,False,True,True,False,False,True,True,False,False,True,False,False,True,False,False,4.960000000000001
CVE-2012-3363,9.1,0,"CWE-611,CWE-611",1,0,2,0,False,False,True,False,False,True,False,False,True,True,False,False,True,True,False,False,True,False,False,False,False,True,9.3
CVE-2013-0640,7.8,0,"CWE-787,CWE-787",1,0,0,0,False,True,False,False,False,True,False,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False,8.120000000000001
CVE-2013-0641,7.8,0,"CWE-120,CWE-120",0,0,0,0,False,True,False,False,False,True,False,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False,5.12
CVE-2013-0643,8.8,0,CWE-269,1,1,1,0,False,False,True,False,False,True,False,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False,9.85
CVE-2013-0648,8.8,0,Unknown,0,0,0,1,False,False,True,False,False,True,False,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False,5.5200000000000005
CVE-2011-2479,5.5,0,CWE-399,0,1,0,0,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,True,True,False,False,5.2
CVE-2013-2551,8.8,0,"CWE-416,CWE-416",1,0,2,1,False,False,True,False,False,True,False,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False,9.18
CVE-2013-0074,7.8,0,Unknown,1,0,0,0,False,True,False,False,False,True,False,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False,8.120000000000001
CVE-2013-0090,8.8,0,CWE-399,1,0,1,0,False,False,True,False,False,True,False,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False,8.85
CVE-2013-2566,5.9,0,CWE-326,0,1,2,1,False,False,True,False,True,False,False,False,True,True,False,False,True,True,False,False,False,False,True,False,False,True,6.0200000000000005
CVE-2013-1292,7.4,0,"CWE-362,CWE-362",1,0,2,0,False,True,False,False,True,False,False,False,True,True,False,False,True,True,False,False,True,False,False,True,False,False,8.620000000000001
CVE-2013-1294,7.0,0,"CWE-362,CWE-362",0,1,0,0,False,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,5.800000000000001
CVE-2013-2596,7.8,0,"CWE-190,CWE-190",1,0,0,0,False,True,False,False,False,True,False,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,8.120000000000001
CVE-2013-1937,6.1,0,CWE-79,0,1,0,0,False,False,True,False,False,True,False,False,True,False,True,True,False,False,True,False,False,True,False,False,False,True,5.4399999999999995
CVE-2013-2423,3.7,0,CWE-284,0,0,1,1,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,True,False,True,False,False,False,True,3.8100000000000005
CVE-2013-1347,8.8,0,"CWE-416,CWE-416",1,0,0,0,False,False,True,False,False,True,False,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False,8.52
CVE-2013-2094,8.4,0,CWE-189,0,0,1,0,False,True,False,False,False,True,False,False,True,True,False,False,True,True,False,False,True,False,False,True,False,False,5.69
CVE-2013-1675,6.5,0,"CWE-665,CWE-665",0,0,0,0,False,False,True,False,False,True,False,False,True,False,True,False,True,True,False,False,False,False,True,False,False,True,4.6
CVE-2013-2729,9.8,0,"CWE-190,CWE-190",1,1,0,0,False,False,True,False,False,True,False,False,True,True,False,False,True,True,False,False,True,False,False,True,False,False,9.92
